Name,City,State,Control
Yale University,New Haven,CT,Private not-for-profit
Abilene Christian University,Abilene,TX,Private (non-profit)
Air Force Institute of Technology Graduate School of Engineering & Management,Wright-Patterson AFB,OH,Public
Albert Einstein College of Medicine,Bronx,NY,Private (non-profit)
Appalachian State University,Boone,NC,Public
Arkansas State University,Jonesboro,AR,Public
Augusta University,Augusta,GA,Public
Azusa Pacific University,Azusa,CA,Private (non-profit)
Ball State University,Muncie,IN,Public
Boise State University,Boise,ID,Public
Bowling Green State University,Bowling Green,OH,Public
"California State Polytechnic University, Pomona",Pomona,CA,Public
"California State University, Fresno",Fresno,CA,Public
"California State University, Fullerton",Fullerton,CA,Public
"California State University, Long Beach",Long Beach,CA,Public
"California State University, Los Angeles",Los Angeles,CA,Public
"California State University, Sacramento",Sacramento,CA,Public
Central Michigan University,Mount Pleasant,MI,Public
Chapman University,Orange,CA,Private (non-profit)
Claremont Graduate University,Claremont,CA,Private (non-profit)
Clark Atlanta University,Atlanta,GA,Private (non-profit)
Clark University,Worcester,MA,Private (non-profit)
Clarkson University,Potsdam,NY,Private (non-profit)
Cleveland State University,Cleveland,OH,Public
Creighton University,Omaha,NE,Private (non-profit)
CUNY City College,New York[a],NY,Public
CUNY Hunter College,New York,NY,Public
Delaware State University,Dover,DE,Public
DePaul University,Chicago,IL,Private (non-profit)
Duquesne University,Pittsburgh,PA,Private (non-profit)
East Tennessee State University,Johnson City,TN,Public
East Texas A&M University,Commerce,TX,Public
Eastern Michigan University,Ypsilanti,MI,Public
"Eastern Virginia Medical School (EVMS ceased being a separate institution on July 1, 2024. It is now part of Old Dominion University)",Norfolk,VA,Public
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,Private (non-profit)
Florida Agricultural and Mechanical University,Tallahassee,FL,Public
Florida Institute of Technology,Melbourne,FL,Private (non-profit)
Fordham University,Bronx,NY,Private (non-profit)
Georgia Southern University,Statesboro,GA,Public
Hampton University,Hampton,VA,Private (non-profit)
Hofstra University,Hempstead,NY,Private (non-profit)
Icahn School of Medicine at Mount Sinai,New York,NY,Private (non-profit)
Idaho State University,Pocatello,ID,Public
Illinois Institute of Technology,Chicago,IL,Private (non-profit)
Illinois State University,Normal,IL,Public
Indiana University of Pennsylvania,Indiana,PA,Public
Jackson State University,Jackson,MS,Public
James Madison University,Harrisonburg,VA,Public
Kean University,Union,NJ,Public
Kennesaw State University,Kennesaw[b],GA,Public
Lamar University,Beaumont,TX,Public
Loma Linda University,Loma Linda,CA,Private (non-profit)
Long Island University,Brookville[c],NY,Private (non-profit)
"Louisiana State University Health Sciences Center, New Orleans",New Orleans,LA,Public
Louisiana Tech University,Ruston,LA,Public
Loyola Marymount University,Los Angeles,CA,Private (non-profit)
Marquette University,Milwaukee,WI,Private (non-profit)
Marshall University,Huntington,WV,Public
Medical College of Wisconsin,Milwaukee,WI,Private (non-profit)
Mercer University,Macon,GA,Private (non-profit)
"Miami University, Oxford",Oxford,OH,Public
Middle Tennessee State University,Murfreesboro,TN,Public
Montclair State University,Montclair,NJ,Public
Morgan State University,Baltimore,MD,Public
North Carolina A&T State University,Greensboro,NC,Public
Northern Illinois University,DeKalb,IL,Public
Oakland University,Rochester[d],MI,Public
Oklahoma State University Center for Health Sciences,Tulsa,OK,Public
Oregon Health & Science University,Portland,OR,Public
Pepperdine University,Malibu,CA,Private (non-profit)
Portland State University,Portland,OR,Public
Prairie View A&M University,Prairie View,TX,Public
Rochester Institute of Technology,Rochester[e],NY,Private (non-profit)
Rockefeller University,New York,NY,Private (non-profit)
Rowan University,Glassboro,NJ,Public
Rush University,Chicago,IL,Private (non-profit)
Rutgers University–Camden,Camden,NJ,Public
Rutgers University–Newark,Newark,NJ,Public
Saint Joseph's University,Philadelphia,PA,Private (non-profit)
Sam Houston State University,Huntsville,TX,Public
San Francisco State University,San Francisco,CA,Public
San Jose State University,San Jose,CA,Public
Seton Hall University,South Orange,NJ,Private (non-profit)
South Carolina State University,Orangeburg,SC,Public
South Dakota State University,Brookings,SD,Public
Southern Connecticut State University,New Haven,CT,Public
Southern University,Baton Rouge,LA,Public
Stevens Institute of Technology,Hoboken,NJ,Private (non-profit)
SUNY College of Environmental Science and Forestry,Syracuse,NY,Public
Tarleton State University,Stephenville,TX,Public
"Teachers College, Columbia University",New York[a],NY,Private (non-profit)
Tennessee State University,Nashville,TN,Public
Tennessee Technological University,Cookeville,TN,Public
Texas A&M University–Corpus Christi,Corpus Christi,TX,Public
Texas A&M University–Kingsville,Kingsville,TX,Public
Texas Christian University,Fort Worth,TX,Private (non-profit)
Texas Southern University,Houston,TX,Public
Texas State University,San Marcos,TX,Public
Texas Tech University Health Sciences Center,Lubbock,TX,Public
Texas Woman's University,Denton,TX,Public
The New School,New York[a],NY,Private (non-profit)
The University of Texas at Tyler,Tyler,TX,Public
The University of Texas Medical Branch at Galveston,Galveston,TX,Public
The University of Texas Rio Grande Valley,Edinburg,TX,Public
The University of West Florida,Pensacola,FL,Public
Thomas Jefferson University,Philadelphia,PA,Private (non-profit)
University of Akron Main Campus,Akron,OH,Public
"University of Alabama, Huntsville",Huntsville,AL,Public
University of Alaska Fairbanks,Fairbanks,AK,Public
University of Arkansas at Little Rock,Little Rock,AR,Public
University of Arkansas for Medical Sciences,Little Rock,AR,Public
University of Colorado Colorado Springs,Colorado Springs,CO,Public
University of Massachusetts Chan Medical School,Worcester,MA,Public
University of Massachusetts Dartmouth,North Dartmouth,MA,Public
University of Michigan-Dearborn,Dearborn,MI,Public
University of Missouri–St. Louis,St. Louis,MO,Public
University of Nebraska Omaha,Omaha,NE,Public
University of New England,Biddeford,ME,Private (non-profit)
University of New Orleans,New Orleans,LA,Public
University of North Carolina at Greensboro,Greensboro,NC,Public
University of North Carolina Wilmington,Wilmington,NC,Public
University of North Florida,Jacksonville,FL,Public
