Name,City,State,Control,Homepage URL
University of Massachusetts-Boston,Boston,MA,Public,Not Found
University of Massachusetts-Lowell,Lowell,MA,Public,Not Found
University of Memphis,Memphis,TN,Public,Not Found
University of Miami,Coral Gables,FL,Private not-for-profit,Not Found
University of Michigan-Ann Arbor,Ann Arbor,MI,Public,Not Found
University of Minnesota-Twin Cities,Minneapolis,MN,Public,Not Found
University of Mississippi,University,MS,Public,Not Found
University of Missouri-Columbia,Columbia,MO,Public,Not Found
University of Missouri-Kansas City,Kansas City,MO,Public,Not Found
University of Nebraska Medical Center,Omaha,NE,Public,Not Found
University of Nebraska-Lincoln,Lincoln,NE,Public,Not Found
University of Nevada-Las Vegas,Las Vegas,NV,Public,Not Found
University of Nevada-Reno,Reno,NV,Public,Not Found
University of New Hampshire-Main Campus,Durham,NH,Public,Not Found
University of New Mexico-Main Campus,Albuquerque,NM,Public,Not Found
University of North Carolina at Chapel Hill,Chapel Hill,NC,Public,Not Found
University of North Carolina at Charlotte,Charlotte,NC,Public,Not Found
University of North Dakota,Grand Forks,ND,Public,Not Found
University of North Texas,Denton,TX,Public,Not Found
University of Notre Dame,Notre Dame,IN,Private not-for-profit,Not Found
University of Oklahoma-Norman Campus,Norman,OK,Public,Not Found
University of Oregon,Eugene,OR,Public,Not Found
University of Pennsylvania,Philadelphia,PA,Private not-for-profit,Not Found
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,Public,Not Found
University of Rhode Island,Kingston,RI,Public,Not Found
University of Rochester,Rochester,NY,Private not-for-profit,Not Found
University of South Carolina-Columbia,Columbia,SC,Public,Not Found
University of South Florida,Tampa,FL,Public,Not Found
University of Southern California,Los Angeles,CA,Private not-for-profit,Not Found
University of Southern Mississippi,Hattiesburg,MS,Public,Not Found
University of Texas Southwestern Medical Center,Dallas,TX,Public,Not Found
University of Toledo,Toledo,OH,Public,Not Found
University of Utah,Salt Lake City,UT,Public,Not Found
University of Vermont,Burlington,VT,Public,Not Found
University of Virginia-Main Campus,Charlottesville,VA,Public,Not Found
University of Washington-Seattle Campus,Seattle,WA,Public,Not Found
University of Wisconsin-Madison,Madison,WI,Public,Not Found
University of Wisconsin-Milwaukee,Milwaukee,WI,Public,Not Found
University of Wyoming,Laramie,WY,Public,Not Found
Utah State University,Logan,UT,Public,Not Found
Vanderbilt University,Nashville,TN,Private not-for-profit,Not Found
Virginia Commonwealth University,Richmond,VA,Public,Not Found
Virginia Polytechnic Institute and State University,Blacksburg,VA,Public,Not Found
Washington State University,Pullman,WA,Public,Not Found
Washington University in St Louis,Saint Louis,MO,Private not-for-profit,Not Found
Wayne State University,Detroit,MI,Public,Not Found
Weill Cornell Medicine of Cornell University,New York,NY,Private not-for-profit,Not Found
West Virginia University,Morgantown,WV,Public,Not Found
William & Mary,Williamsburg,VA,Public,Not Found
Worcester Polytechnic Institute,Worcester,MA,Private not-for-profit,Not Found
Yale University,New Haven,CT,Private not-for-profit,Not Found
Abilene Christian University,Abilene,TX,Private (non-profit),Not Found
Air Force Institute of Technology Graduate School of Engineering & Management,Wright-Patterson AFB,OH,Public,Not Found
Albert Einstein College of Medicine,Bronx,NY,Private (non-profit),Not Found
Appalachian State University,Boone,NC,Public,Not Found
Arkansas State University,Jonesboro,AR,Public,Not Found
Augusta University,Augusta,GA,Public,Not Found
Azusa Pacific University,Azusa,CA,Private (non-profit),Not Found
Ball State University,Muncie,IN,Public,Not Found
Boise State University,Boise,ID,Public,Not Found
Bowling Green State University,Bowling Green,OH,Public,Not Found
"California State Polytechnic University, Pomona",Pomona,CA,Public,Not Found
"California State University, Fresno",Fresno,CA,Public,Not Found
"California State University, Fullerton",Fullerton,CA,Public,Not Found
"California State University, Long Beach",Long Beach,CA,Public,Not Found
"California State University, Los Angeles",Los Angeles,CA,Public,Not Found
"California State University, Sacramento",Sacramento,CA,Public,Not Found
Central Michigan University,Mount Pleasant,MI,Public,Not Found
Chapman University,Orange,CA,Private (non-profit),Not Found
Claremont Graduate University,Claremont,CA,Private (non-profit),Not Found
Clark Atlanta University,Atlanta,GA,Private (non-profit),Not Found
Clark University,Worcester,MA,Private (non-profit),Not Found
Clarkson University,Potsdam,NY,Private (non-profit),Not Found
Cleveland State University,Cleveland,OH,Public,Not Found
Creighton University,Omaha,NE,Private (non-profit),Not Found
CUNY City College,New York[a],NY,Public,Not Found
CUNY Hunter College,New York,NY,Public,Not Found
Delaware State University,Dover,DE,Public,Not Found
DePaul University,Chicago,IL,Private (non-profit),Not Found
Duquesne University,Pittsburgh,PA,Private (non-profit),Not Found
East Tennessee State University,Johnson City,TN,Public,Not Found
East Texas A&M University,Commerce,TX,Public,Not Found
Eastern Michigan University,Ypsilanti,MI,Public,Not Found
"Eastern Virginia Medical School (EVMS ceased being a separate institution on July 1, 2024. It is now part of Old Dominion University)",Norfolk,VA,Public,Not Found
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,Private (non-profit),Not Found
Florida Agricultural and Mechanical University,Tallahassee,FL,Public,Not Found
Florida Institute of Technology,Melbourne,FL,Private (non-profit),Not Found
Fordham University,Bronx,NY,Private (non-profit),Not Found
Georgia Southern University,Statesboro,GA,Public,Not Found
Hampton University,Hampton,VA,Private (non-profit),Not Found
Hofstra University,Hempstead,NY,Private (non-profit),Not Found
Icahn School of Medicine at Mount Sinai,New York,NY,Private (non-profit),Not Found
Idaho State University,Pocatello,ID,Public,Not Found
Illinois Institute of Technology,Chicago,IL,Private (non-profit),Not Found
Illinois State University,Normal,IL,Public,Not Found
Indiana University of Pennsylvania,Indiana,PA,Public,Not Found
Jackson State University,Jackson,MS,Public,Not Found
James Madison University,Harrisonburg,VA,Public,Not Found
Kean University,Union,NJ,Public,Not Found
Kennesaw State University,Kennesaw[b],GA,Public,Not Found
Lamar University,Beaumont,TX,Public,Not Found
Loma Linda University,Loma Linda,CA,Private (non-profit),Not Found
Long Island University,Brookville[c],NY,Private (non-profit),Not Found
"Louisiana State University Health Sciences Center, New Orleans",New Orleans,LA,Public,Not Found
Louisiana Tech University,Ruston,LA,Public,Not Found
Loyola Marymount University,Los Angeles,CA,Private (non-profit),Not Found
Marquette University,Milwaukee,WI,Private (non-profit),Not Found
Marshall University,Huntington,WV,Public,Not Found
Medical College of Wisconsin,Milwaukee,WI,Private (non-profit),Not Found
Mercer University,Macon,GA,Private (non-profit),Not Found
"Miami University, Oxford",Oxford,OH,Public,Not Found
Middle Tennessee State University,Murfreesboro,TN,Public,Not Found
Montclair State University,Montclair,NJ,Public,Not Found
Morgan State University,Baltimore,MD,Public,Not Found
North Carolina A&T State University,Greensboro,NC,Public,Not Found
Northern Illinois University,DeKalb,IL,Public,Not Found
Oakland University,Rochester[d],MI,Public,Not Found
Oklahoma State University Center for Health Sciences,Tulsa,OK,Public,Not Found
Oregon Health & Science University,Portland,OR,Public,Not Found
Pepperdine University,Malibu,CA,Private (non-profit),Not Found
Portland State University,Portland,OR,Public,Not Found
Prairie View A&M University,Prairie View,TX,Public,Not Found
Rochester Institute of Technology,Rochester[e],NY,Private (non-profit),Not Found
Rockefeller University,New York,NY,Private (non-profit),Not Found
Rowan University,Glassboro,NJ,Public,Not Found
Rush University,Chicago,IL,Private (non-profit),Not Found
Rutgers University–Camden,Camden,NJ,Public,Not Found
Rutgers University–Newark,Newark,NJ,Public,Not Found
Saint Joseph's University,Philadelphia,PA,Private (non-profit),Not Found
Sam Houston State University,Huntsville,TX,Public,Not Found
San Francisco State University,San Francisco,CA,Public,Not Found
San Jose State University,San Jose,CA,Public,Not Found
Seton Hall University,South Orange,NJ,Private (non-profit),Error
South Carolina State University,Orangeburg,SC,Public,Error
